tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
0,     596,  1352,    0  ,  1688, 3.61   ,  1441
4,     588,  1360,    0  ,  1688, 0.39   ,  1449
8,     586,  1360,    0  ,  1688, 4.78   ,  1451
12,     586,  1360,    0  ,  1688, 1.54   ,  1451
16,     586,  1360,    0  ,  1688, 9.48   ,  1451
20,     570,  1376,    0  ,  1688, 8.97   ,  1468
24,     552,  1394,    0  ,  1688, 7.86   ,  1486
28,     552,  1394,    0  ,  1688, 6.98   ,  1486
33,     552,  1394,    0  ,  1688, 6.26   ,  1486
37,     552,  1394,    0  ,  1688, 5.68   ,  1486
41,     552,  1394,    0  ,  1688, 5.20   ,  1486
45,     552,  1394,    0  ,  1688, 4.82   ,  1486
49,     552,  1394,    0  ,  1688, 4.48   ,  1486
53,     552,  1394,    0  ,  1688, 4.20   ,  1486
57,     552,  1394,    0  ,  1688, 3.95   ,  1485
61,     552,  1394,    0  ,  1688, 3.72   ,  1485
65,     552,  1394,    0  ,  1688, 3.52   ,  1485
69,     552,  1394,    0  ,  1688, 3.35   ,  1485
73,     552,  1394,    0  ,  1688, 3.18   ,  1485
77,     552,  1394,    0  ,  1688, 3.03   ,  1485
81,     552,  1394,    0  ,  1688, 2.90   ,  1485
85,     552,  1394,    0  ,  1688, 2.78   ,  1485
89,     552,  1394,    0  ,  1688, 2.67   ,  1485
93,     552,  1394,    0  ,  1688, 2.56   ,  1485
97,     552,  1394,    0  ,  1688, 2.47   ,  1485
101,     552,  1394,    0  ,  1688, 2.38   ,  1485
105,     552,  1394,    0  ,  1688, 2.30   ,  1485
109,     552,  1394,    0  ,  1688, 2.22   ,  1485
113,     552,  1394,    0  ,  1688, 2.16   ,  1485
117,     552,  1393,    0  ,  1688, 2.09   ,  1485
121,     553,  1393,    0  ,  1688, 2.03   ,  1485
125,     553,  1393,    0  ,  1688, 1.97   ,  1485
129,     553,  1393,    0  ,  1688, 1.91   ,  1485
133,     553,  1393,    0  ,  1688, 1.87   ,  1485
137,     553,  1393,    0  ,  1688, 1.81   ,  1485
141,     553,  1393,    0  ,  1688, 1.77   ,  1485
145,     553,  1393,    0  ,  1688, 1.73   ,  1485
149,     553,  1393,    0  ,  1688, 1.69   ,  1485
153,     553,  1393,    0  ,  1688, 1.65   ,  1484
157,     553,  1393,    0  ,  1688, 1.61   ,  1484
161,     553,  1393,    0  ,  1688, 1.58   ,  1484
165,     553,  1393,    0  ,  1688, 1.54   ,  1484
169,     553,  1393,    0  ,  1688, 1.51   ,  1484
173,     553,  1393,    0  ,  1688, 1.48   ,  1484
177,     553,  1393,    0  ,  1688, 1.45   ,  1484
181,     553,  1393,    0  ,  1688, 1.42   ,  1484
185,     553,  1393,    0  ,  1688, 1.39   ,  1484
189,     553,  1393,    0  ,  1688, 1.37   ,  1484
193,     553,  1393,    0  ,  1688, 1.35   ,  1484
197,     553,  1393,    0  ,  1688, 1.32   ,  1484
202,     553,  1393,    0  ,  1688, 1.30   ,  1484
206,     553,  1393,    0  ,  1688, 1.28   ,  1484
210,     553,  1393,    0  ,  1688, 1.25   ,  1484
214,     553,  1393,    0  ,  1688, 1.23   ,  1484
218,     553,  1393,    0  ,  1688, 1.21   ,  1484
222,     553,  1393,    0  ,  1688, 1.19   ,  1484
226,     553,  1393,    0  ,  1688, 1.17   ,  1484
230,     553,  1393,    0  ,  1688, 1.16   ,  1484
234,     553,  1393,    0  ,  1688, 1.14   ,  1484
238,     553,  1393,    0  ,  1688, 1.13   ,  1484
242,     553,  1393,    0  ,  1688, 1.12   ,  1484
246,     553,  1393,    0  ,  1688, 1.10   ,  1484
250,     553,  1393,    0  ,  1688, 1.08   ,  1484
254,     553,  1393,    0  ,  1688, 1.07   ,  1484
258,     553,  1392,    0  ,  1688, 1.06   ,  1484
262,     553,  1392,    0  ,  1688, 1.04   ,  1484
266,     553,  1392,    0  ,  1688, 1.03   ,  1484
270,     553,  1392,    0  ,  1688, 1.02   ,  1484
274,     553,  1392,    0  ,  1688, 1.00   ,  1484
278,     553,  1392,    0  ,  1688, 0.99   ,  1484
282,     553,  1392,    0  ,  1688, 0.98   ,  1484
286,     553,  1392,    0  ,  1688, 0.97   ,  1484
290,     553,  1392,    0  ,  1688, 0.96   ,  1484
294,     553,  1392,    0  ,  1688, 0.94   ,  1484
298,     553,  1392,    0  ,  1688, 0.94   ,  1484
302,     554,  1392,    0  ,  1688, 0.92   ,  1484
306,     553,  1393,    0  ,  1688, 0.91   ,  1484
310,     553,  1393,    0  ,  1688, 0.90   ,  1484
314,     553,  1393,    0  ,  1688, 0.89   ,  1484
318,     553,  1393,    0  ,  1688, 0.89   ,  1484
322,     553,  1393,    0  ,  1688, 0.88   ,  1484
326,     553,  1393,    0  ,  1688, 0.87   ,  1484
330,     553,  1392,    0  ,  1688, 0.86   ,  1484
